Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.670436649964209,0.7641091503183626,0.7641091503183625,0.7499636744612458,0.1491179466247558
Perceptron,0.8365068002863278,0.7570903337137337,0.7570903337137337,0.8674725775900423,0.225682258605957
BernoulliNB,0.8287759484609878,0.723521078419624,0.7235210784196241,0.8610168356886918,0.1771976947784423
GaussianNB,0.8681460272011453,0.7111908681792958,0.7111908681792958,0.8861017480852543,0.1555790901184082
QuadraticDiscriminantAnalysis,0.8992841803865426,0.6618053468679654,0.6618053468679655,0.9029018132746486,0.2524847984313965
DecisionTreeClassifier,0.8936292054402291,0.6412999859270307,0.6412999859270309,0.8975111103575818,0.6664016246795654
LinearDiscriminantAnalysis,0.9373657838224768,0.6331598640145573,0.6331598640145573,0.925478945684996,0.3453657627105713
BaggingClassifier,0.9333571939871153,0.6277842509339473,0.6277842509339474,0.921987393976668,4.0016961097717285
LGBMClassifier,0.9404438081603436,0.6260885810452468,0.6260885810452467,0.9267299731277916,0.7118189334869385
XGBClassifier,0.9399427344309234,0.6226025252683542,0.6226025252683542,0.9258891149301576,2.974695205688477
PassiveAggressiveClassifier,0.905225483178239,0.6218181415937362,0.6218181415937362,0.9029239088904089,0.2136225700378418
CalibratedClassifierCV,0.9394416607015031,0.614062568175547,0.614062568175547,0.9243067909575662,2.2488210201263428
ExtraTreeClassifier,0.8840372226198998,0.6122414552802211,0.6122414552802211,0.8889247711424175,0.1806716918945312
AdaBoostClassifier,0.9370794559770936,0.6058983255624733,0.6058983255624733,0.9214599466914885,3.0854644775390625
LogisticRegression,0.939513242662849,0.6035338823634968,0.6035338823634968,0.9227390457940116,0.3632960319519043
RandomForestClassifier,0.9393700787401574,0.597943410685501,0.597943410685501,0.9217341900850216,7.528388738632202
SVC,0.939799570508232,0.5963370027525253,0.5963370027525253,0.9217535993890508,75.54702639579773
KNeighborsClassifier,0.928775948460988,0.5913172852320473,0.5913172852320473,0.9138072976148266,1.0380170345306396
LabelSpreading,0.9030780243378668,0.5903378618796448,0.5903378618796448,0.8980322664660986,200.41636753082275
LabelPropagation,0.9026485325697924,0.5896470419417502,0.5896470419417502,0.8976926240312619,159.76923322677612
SGDClassifier,0.9369362920544024,0.584686704362559,0.5846867043625591,0.9178694642037232,0.4127664566040039
LinearSVC,0.936435218324982,0.5729306282505333,0.5729306282505333,0.915383782260914,0.662667989730835
ExtraTreesClassifier,0.9367931281317108,0.5666912021818633,0.5666912021818634,0.914366529450244,7.056918382644653
RidgeClassifierCV,0.9333571939871153,0.5409490374150475,0.5409490374150475,0.906816410317377,0.3237130641937256
RidgeClassifier,0.9333571939871153,0.5409490374150475,0.5409490374150475,0.906816410317377,0.1583621501922607
DummyClassifier,0.928131710808876,0.5,0.5,0.8935369588912895,0.1096699237823486
NearestCentroid,0.4798074088631227,0.4211386643236038,,0.4763808254767344,0.2474763393402099
LGBMClassifier,0.5852412302250172,0.4068245357856749,,0.528083658299072,1.7529704570770264
XGBClassifier,0.5803773214110248,0.4053715961964799,,0.52359824400384,1.4597408771514893
RandomForestClassifier,0.5777242802397563,0.3942768476999239,,0.5154587791072102,19.781115293502808
AdaBoostClassifier,0.5768399331826668,0.3935584574250725,,0.5094871867513334,4.843690633773804
ExtraTreesClassifier,0.5753168910287904,0.3918683515613687,,0.5118019938447732,16.958740234375
BaggingClassifier,0.5477547410828338,0.3909247444963816,,0.5057014325463856,9.708120584487917
BernoulliNB,0.5665225508499557,0.3880861287864505,,0.5088470237204942,0.3642446994781494
GaussianNB,0.5327699715043726,0.3871264028511141,,0.4327948507798227,0.2410900592803955
SVC,0.5729095018178245,0.3834264397526826,,0.4956018157015907,1752.2452473640442
DecisionTreeClassifier,0.4794143657266385,0.3796517809342437,,0.4755005535774687,1.6099004745483398
LogisticRegression,0.5677016802594085,0.3784498840231258,,0.4866866546194494,0.4064240455627441
QuadraticDiscriminantAnalysis,0.5266286724968066,0.3763448558794758,,0.4270628487084949,0.3991696834564209
LinearDiscriminantAnalysis,0.5604795126265107,0.3753130754458756,,0.4713055418308241,0.4830787181854248
PassiveAggressiveClassifier,0.4934656578559497,0.373928838910638,,0.4600016630132723,0.7960205078125
KNeighborsClassifier,0.5266286724968066,0.3737814536669334,,0.4886277650526527,1.7346162796020508
CalibratedClassifierCV,0.5637712488945662,0.370805210618417,,0.4742693943922857,6.597171068191528
LabelSpreading,0.4672300284956274,0.3703824303535225,,0.4655123973734366,420.950865983963
LabelPropagation,0.4667878549670826,0.3702567516065797,,0.4651701410541419,356.948237657547
LinearSVC,0.5631816841898398,0.3690585064023804,,0.4715074100735597,1.5802888870239258
RidgeClassifierCV,0.5619534243883266,0.3671495842952462,,0.4674918186690074,0.51584792137146
RidgeClassifier,0.5619534243883266,0.3671495842952462,,0.4674918186690074,0.2470378875732422
ExtraTreeClassifier,0.45632308145819,0.3643668927181507,,0.4561601549303786,0.3558290004730224
Perceptron,0.5156725950673087,0.3618969475753923,,0.475125378224434,0.7304625511169434
SGDClassifier,0.5559103861648816,0.3580771356982191,,0.4465344813863103,2.928169250488281
DummyClassifier,0.5380760538469097,0.3333333333333333,,0.376477923831301,0.1729240417480468
BaggingClassifier,1.0,1.0,1.0,1.0,0.029911994934082
DecisionTreeClassifier,1.0,1.0,1.0,1.0,0.0119988918304443
CalibratedClassifierCV,1.0,1.0,1.0,1.0,0.0292212963104248
LabelPropagation,1.0,1.0,1.0,1.0,0.0120158195495605
ExtraTreesClassifier,1.0,1.0,1.0,1.0,0.1097886562347412
XGBClassifier,1.0,1.0,1.0,1.0,0.1114406585693359
SVC,1.0,1.0,1.0,1.0,0.0124740600585937
NuSVC,1.0,1.0,1.0,1.0,0.0130701065063476
LogisticRegression,1.0,1.0,1.0,1.0,0.0124557018280029
LinearSVC,1.0,1.0,1.0,1.0,0.0113029479980468
LabelSpreading,1.0,1.0,1.0,1.0,0.0118038654327392
LGBMClassifier,1.0,1.0,1.0,1.0,0.1026368141174316
RandomForestClassifier,1.0,1.0,1.0,1.0,0.1239757537841796
RidgeClassifier,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0117709636688232
Perceptron,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0120861530303955
AdaBoostClassifier,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0939209461212158
BernoulliNB,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0136785507202148
PassiveAggressiveClassifier,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0113625526428222
KNeighborsClassifier,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0140993595123291
RidgeClassifierCV,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.013364553451538
LinearDiscriminantAnalysis,0.9583333333333334,0.9583333333333331,0.9583333333333331,0.9582608695652174,0.0111205577850341
GaussianNB,0.9166666666666666,0.9166666666666669,0.9166666666666669,0.916083916083916,0.0136258602142333
NearestCentroid,0.9166666666666666,0.9166666666666669,0.9166666666666669,0.916083916083916,0.0123703479766845
SGDClassifier,0.9166666666666666,0.9166666666666669,0.9166666666666669,0.916083916083916,0.0118920803070068
ExtraTreeClassifier,0.9166666666666666,0.9166666666666666,0.9166666666666664,0.9166666666666666,0.0113081932067871
QuadraticDiscriminantAnalysis,0.9166666666666666,0.9166666666666666,0.9166666666666664,0.9166666666666666,0.0108423233032226
DummyClassifier,0.5,0.5,0.5,0.3333333333333333,0.0104622840881347
ExtraTreesClassifier,0.7096774193548387,0.7003367003367004,,0.7030360531309298,0.1088924407958984
RandomForestClassifier,0.7096774193548387,0.7003367003367004,,0.7030360531309298,0.132265567779541
LabelPropagation,0.6774193548387096,0.6700336700336701,,0.6758064516129032,0.0129256248474121
LabelSpreading,0.6774193548387096,0.6700336700336701,,0.6758064516129032,0.0122475624084472
DecisionTreeClassifier,0.6774193548387096,0.6632996632996633,,0.6723867667684185,0.0116493701934814
BaggingClassifier,0.6774193548387096,0.6632996632996633,,0.6666666666666667,0.0324091911315918
ExtraTreeClassifier,0.6451612903225806,0.6262626262626262,,0.6267521538769786,0.0111260414123535
NuSVC,0.6129032258064516,0.6094276094276094,,0.592913694955179,0.015665054321289
AdaBoostClassifier,0.6129032258064516,0.6094276094276094,,0.6146756469337115,0.0931413173675537
BernoulliNB,0.6129032258064516,0.6094276094276094,,0.6141935483870967,0.0140366554260253
LGBMClassifier,0.5806451612903226,0.5791245791245792,,0.568679251455866,0.1897072792053222
RidgeClassifier,0.5806451612903226,0.5791245791245792,,0.5772332506203475,0.0119783878326416
RidgeClassifierCV,0.5806451612903226,0.5791245791245792,,0.5772332506203475,0.0144414901733398
LinearDiscriminantAnalysis,0.5806451612903226,0.5791245791245792,,0.5772332506203475,0.0115566253662109
LinearSVC,0.5806451612903226,0.5791245791245792,,0.5772332506203475,0.0116074085235595
LogisticRegression,0.5806451612903226,0.5791245791245792,,0.5772332506203475,0.0137813091278076
NearestCentroid,0.5806451612903226,0.5791245791245792,,0.5808814841072906,0.0120546817779541
GaussianNB,0.5483870967741935,0.5488215488215488,,0.532072673340749,0.0145473480224609
CalibratedClassifierCV,0.5161290322580645,0.5252525252525252,,0.4800782013685239,0.0435702800750732
KNeighborsClassifier,0.5161290322580645,0.5185185185185185,,0.4780701754385964,0.0151176452636718
Perceptron,0.5161290322580645,0.5185185185185185,,0.4103942652329749,0.0136704444885253
QuadraticDiscriminantAnalysis,0.4838709677419355,0.4882154882154882,,0.4282237852696257,0.0108907222747802
SVC,0.4516129032258064,0.4579124579124579,,0.407430987863925,0.0122156143188476
PassiveAggressiveClassifier,0.4516129032258064,0.4377104377104377,,0.3697295536005214,0.0131659507751464
DummyClassifier,0.2903225806451613,0.3333333333333333,,0.1306451612903225,0.010636568069458
SGDClassifier,0.3225806451612903,0.303030303030303,,0.2765570619708067,0.0130913257598876
